1,35.4339,136.7818,岐阜城,1.jpg,金華山に建つ歴史ある城。織田信長ゆかりの地として知られ、岐阜市街を一望できる。__
2,35.4326,136.7812,岐阜公園,2.jpg,金華山の麓にある、くつろげる公園です。岐阜城を訪れる際の人気の出発点となっています。__
3,35.4356,136.7765,川原町歴史地区,3.jpg,長良川の近くに位置し、古い町家やカフェ、地元の商店が並ぶ伝統的な街並み。__
4,35.4427,136.7788,長良川うかいミュージアム,4.jpg,長良川の伝統的な鵜飼文化を紹介する博物館です。展示や映像を通して学ぶことができます。__
5,35.3985,136.7227,岐阜市科学館,5.jpg,子供たちが実験を楽しみながら科学を学べる、体験型の科学館。__
6,35.4331,136.7804,岐阜市歴史博物館,6.jpg,古代から現代に至る岐阜の歴史を学べる博物館。__
7,35.4108,136.7562,岐阜シティ・タワー43,7.jpg,岐阜市街や周辺の山々を一望できる高層展望施設。__
8,35.4235,136.7558,梅林公園,8.jpg,岐阜県にある、美しい四季折々の風景と散策路が楽しめる有名な梅の名所__
9,35.4348,136.7785,岐阜大仏,9.jpg,日本三大仏の一つ。正法寺（しょうぼうじ）境内にあり、その見事な木造建築で知られています。__
10,35.4258,136.7592,瑞龍寺,10.jpg,岐阜にある歴史ある寺院で、美しい庭園と伝統的な建築が魅力です。観光に最適な、静かで落ち着いた場所です。__
11,35.4375,136.7738,崇福寺,11.jpg,織田信長や岐阜の歴史にゆかりのある寺院です。伝統的な建築様式と歴史情緒あふれる雰囲気が特徴です。__
12,35.4432,136.7795,長良川,12.jpg,散策や川の眺め、季節ごとのイベントを楽しめる、風光明媚な川沿いのエリア__
13,35.4332,136.7819,岐阜金華山ロープウェー,13.jpg,岐阜公園と金華山山頂を結ぶロープウェイです。乗車中には美しい景色が楽しめます__
14,35.4465,136.7568,岐阜メモリアルセンター,14.jpg,広々とした空間や散策エリア、家族がくつろげる場所を備えた、大規模なスポーツ・レクリエーション施設。__
15,35.4112,136.7585,オリベストリート,15.jpg,地元の商店やカフェが立ち並び、伝統的な雰囲気が漂うショッピング・文化エリア。__
16,35.4097,136.7606,名鉄岐阜駅周辺,16.jpg,レストランや商業施設が充実し、交通アクセスも便利な市街地エリア__
17,35.4238,136.7395,清水緑地公園,17.jpg,広々とした空間やのんびりと散策できる遊歩道があり、家族連れにぴったりの地元の公園。__
18,35.4418,136.7810,長良公園,18.jpg,自然や散策、長良川の眺めを楽しめる川沿いの公園。__
19,35.4125,136.7588,岐阜市文化センター,19.jpg,岐阜市中心部にある文化施設。展示やイベントが行われており、雨の日でも楽しめる屋内スペースがあります。__
20,35.4100,136.7567,岐阜駅周辺グルメエリア,20.jpg,岐阜駅周辺の便利な食事エリア。地元の飲食店、カフェ、土産物店などが揃っています。__
